time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps
62,6,route_6_to_9,1022,677,0.662427,0.344046,2469.8
62,7,route_7_to_9,889,857,0.964004,0.299273,2469.8
62,8,route_8_to_9,702,286,0.407407,0.236321,2469.8
62,8,route_8_to_9,18,2,0.111111,0.00027136,2469.8
63,0,route_0_to_9,999,900,0.900901,0.336303,2469.8
63,4,route_4_to_9,15,1,0.0666667,0.00022528,2469.8
63,5,route_5_to_9,36,8,0.222222,0.00054784,2469.8
63,1,route_1_to_9,765,732,0.956863,0.25753,2469.8
63,6,route_6_to_9,28,11,0.392857,0.00042752,2469.8
63,2,route_2_to_9,750,695,0.926667,0.25248,2469.8
63,3,route_3_to_9,608,603,0.991776,0.204677,2469.8
63,4,route_4_to_9,462,279,0.603896,0.155528,2469.8
63,5,route_5_to_9,1430,426,0.297902,0.481395,2469.8
63,6,route_6_to_9,433,251,0.579677,0.145765,2469.8
63,7,route_7_to_9,1101,1070,0.971844,0.370641,2469.8
63,8,route_8_to_9,795,276,0.34717,0.267629,2469.8
63,8,route_8_to_9,20,3,0.15,0.00031488,2469.8
64,0,route_0_to_9,681,667,0.979442,0.229252,2469.8
64,4,route_4_to_9,27,6,0.222222,0.00040704,2469.8
64,5,route_5_to_9,45,4,0.0888889,0.00068864,2469.8
64,1,route_1_to_9,697,571,0.819225,0.234638,2469.8
64,6,route_6_to_9,31,15,0.483871,0.00048384,2469.8
64,2,route_2_to_9,515,444,0.862136,0.17337,2469.8
64,3,route_3_to_9,1040,1000,0.961538,0.350106,2469.8
64,4,route_4_to_9,1018,725,0.712181,0.3427,2469.8
64,5,route_5_to_9,603,244,0.404643,0.202994,2469.8
64,6,route_6_to_9,622,499,0.802251,0.20939,2469.8
64,7,route_7_to_9,1297,1246,0.960678,0.436622,2469.8
64,8,route_8_to_9,1363,724,0.531181,0.45884,2469.8
64,8,route_8_to_9,34,19,0.558824,0.0005504,2469.8
65,0,route_0_to_9,1101,916,0.831971,0.370641,322.358
65,4,route_4_to_9,15,5,0.333333,0.0002304,322.358
65,5,route_5_to_9,52,1,0.0192308,0.0007936,322.358
65,1,route_1_to_9,1276,873,0.684169,0.429553,322.358
65,6,route_6_to_9,18,11,0.611111,0.00027648,322.358
65,2,route_2_to_9,1346,1306,0.970282,0.453117,322.358
65,3,route_3_to_9,1437,1423,0.990257,0.483752,322.358
65,4,route_4_to_9,1017,562,0.552606,0.342363,322.358
65,5,route_5_to_9,801,0,0,0.269649,322.358
65,6,route_6_to_9,1360,1138,0.836765,0.45783,322.358
